feature_names,sample,qsampled,random_sample
HRS1,c,c,c
PRESTG10,d,,c
INDUS10,c,,c
marital,married,,separated
widowed,no,,no
SPHRS1,c,,b
spwrkslf,someone else,,self-employed
SPPRES105PLUS,c,,d
pawrkslf,self-employed,,someone else
PAOCC10,b,,d
PAPRES10,e,,c
PAIND10,c,,c
MAOCC10,c,,a
MAPRES105PLUS,c,,c
MAIND10,banking and related activities,gasoline stations,gasoline stations
age,c,,b
maeduc,d,,b
coeduc,e,e,d
degree,bachelor,,bachelor
padeg,high school,,bachelor
madeg,bachelor,high school,junior college
spdeg,junior college,,junior college
REG16,middle atlantic,,foreign
INCOM16,above average,,average
granborn,c,,e
babies,e,c,e
teens,e,c,c
adults,2,,1
unrelat,c,c,d
income,$25000 or more,,$8000 to 9999
INCOME16,$150000 to $169999,$12500 to 14999,$5 000 to 5 999
region,new england,,pacific
size,14,,62
partyid,"ind,near rep",independent,"ind,near dem"
VOTE16,voted,did not vote,voted
PRES16,trump,,don't know
polviews,slghtly conservative,,conservative
natenvir,too little,,too little
natheal,too little,,too much
nateduc,too little,,too much
natrace,too little,too little,too little
natarms,too little,,about right
natroad,too little,too little,too little
natmass,too little,,too much
eqwlth,c,c,b
cappun,favor,,favor
courts,not harsh enough,,too harsh
grass,legal,,not legal
relig,none,catholic,christian
attend,once a year,,once a month
postlife,yes,,no
FUND16,moderate,moderate,liberal
sprel,catholic,,christian
spfund,moderate,,liberal
prayer,approve,,disapprove
happy,very happy,very happy,pretty happy
hapmar,very happy,,not too happy
helpful,helpful,helpful,lookout for self
fair,fair,,fair
trust,can't be too careful,,can trust
confinan,hardly any,,a great deal
confed,only some,,a great deal
conlabor,hardly any,,only some
conmedic,a great deal,,hardly any
contv,only some,only some,a great deal
conjudge,a great deal,only some,only some
obey,least important,,most important
socrel,almost daily,sev times a year,almost daily
weekswrk,c,,e
partfull,full-time,,part-time
joblose,not likely,,very likely
class,middle class,,middle class
rank,c,,b
satfin,more or less,more or less,not at all sat
WKSUB1,yes,yes,no
WKSUBS1,yes,,yes
WKSUPS1,no,,yes
