feature_names,sample,qsampled,random_sample
ptsd4,1,3,1
ptsd6,3,2,5
ptsd7,4,2,5
ptsd8,4,2,2
ptsd10,1,,1
ptsd13,4,3,2
ptsd15,3,4,4
ptsd20,3,,5
ptsd21,1,1,2
ptsd22,1,,2
ptsd23,2,2,3
ptsd24,3,3,4
ptsd26,2,1,1
ptsd28,3,2,4
ptsd33,3,,5
ptsd34,3,2,1
ptsd36,3,,3
ptsd37,3,,2
ptsd39,3,,1
ptsd41,4,4,4
ptsd44,3,1,5
ptsd45,1,3,3
ptsd48,3,3,2
ptsd49,3,,1
ptsd50,3,,3
ptsd51,2,3,3
ptsd52,3,,4
ptsd53,4,2,1
ptsd55,3,,1
ptsd56,3,,2
ptsd57,4,4,4
ptsd60,3,4,4
ptsd61,5,5,2
ptsd62,1,1,1
ptsd64,2,1,3
ptsd65,2,2,2
ptsd66,3,1,4
ptsd67,1,4,2
ptsd69,3,3,5
ptsd71,3,4,2
ptsd77,3,3,3
ptsd78,3,5,2
ptsd79,3,4,2
ptsd80,3,1,5
ptsd85,2,4,4
ptsd87,5,3,5
ptsd90,3,1,2
ptsd91,4,4,4
ptsd93,2,3,2
ptsd94,4,3,3
ptsd95,3,2,1
ptsd96,3,4,3
ptsd99,3,1,4
ptsd101,3,4,4
ptsd102,3,,4
ptsd103,2,3,4
ptsd104,5,5,4
ptsd107,2,3,4
ptsd108,2,1,4
ptsd110,3,5,4
ptsd112,2,1,1
ptsd114,1,2,2
ptsd115,1,,5
ptsd117,3,1,1
ptsd118,3,2,1
ptsd119,3,3,3
ptsd122,3,1,4
ptsd123,4,,3
ptsd127,3,2,1
ptsd128,2,3,3
ptsd130,2,2,2
ptsd135,2,2,2
ptsd138,2,,2
ptsd139,4,4,2
ptsd140,2,1,4
ptsd142,3,3,3
ptsd143,3,,1
ptsd144,2,2,4
ptsd145,4,2,4
ptsd146,2,2,1
ptsd147,2,3,5
ptsd149,2,3,2
ptsd155,2,2,5
ptsd156,2,4,4
ptsd158,3,3,2
ptsd164,2,1,2
ptsd167,2,2,1
ptsd170,2,3,2
ptsd171,2,3,4
ptsd174,2,,2
ptsd175,2,5,4
ptsd176,2,5,3
ptsd180,2,,2
ptsd182,2,5,4
ptsd183,2,2,2
ptsd185,2,1,1
ptsd186,2,2,4
ptsd187,2,3,2
ptsd192,2,2,4
ptsd193,2,3,4
ptsd194,2,2,3
ptsd197,2,3,4
ptsd203,2,3,4
ptsd204,3,2,5
ptsd205,3,3,1
ptsd207,2,2,4
ptsd210,3,3,5
ptsd211,3,,2
